Samples,TimeSeconds,TimeDays,Benchmark_alpha0.02,Manuscript_alpha1e-6
21014,21014,0.2432175925925926,1,0.020794754689189454
21878,21878,0.25321759259259258,1,0.021640423062651903
22777,22777,0.26362268518518517,1,0.022519573524575676
23714,23714,0.27446759259259257,1,0.023435044176964626
24689,24689,0.28575231481481483,1,0.024386731461820244
25704,25704,0.29749999999999999,1,0.025376477043433487
26761,26761,0.30973379629629627,1,0.026406110364971314
27861,27861,0.32246527777777778,1,0.027476475370101894
29007,29007,0.33572916666666669,1,0.028590349514506452
30200,30200,0.34953703703703703,1,0.029748550802234042
31441,31441,0.36390046296296297,1,0.030951886628074909
32734,32734,0.37886574074074075,1,0.032204056762340838
34080,34080,0.39444444444444443,1,0.033505834459936823
35481,35481,0.41065972222222225,1,0.034858945386924578
36940,36940,0.42754629629629631,1,0.036266060149375501
38459,38459,0.44512731481481482,1,0.037728861456590934
40041,40041,0.4634375,1,0.039249971642964732
41687,41687,0.48248842592592595,1,0.040830066205160387
43401,43401,0.50232638888888892,1,0.042472676174155732
45186,45186,0.52298611111111115,1,0.044180338758792015
47044,47044,0.54449074074074078,1,0.045954603773941338
48978,48978,0.56687500000000002,1,0.047797945406045206
50992,50992,0.59018518518518515,1,0.049713751437707843
53088,53088,0.61444444444444446,1,0.051703466459828484
55271,55271,0.63971064814814815,1,0.053771340920366728
57544,57544,0.66601851851851857,1,0.055919677227517894
59910,59910,0.69340277777777781,1,0.058150732008204531
62373,62373,0.72190972222222227,1,0.060467653453760151
64938,64938,0.75159722222222225,1,0.06287446706808586
67608,67608,0.78249999999999997,1,0.065373256122624235
70388,70388,0.81467592592592597,1,0.067967911525950053
73282,73282,0.84817129629629628,1,0.070661314502841077
76296,76296,0.88305555555555559,1,0.073458125787577155
79433,79433,0.9193634259259259,1,0.076360134916916067
82699,82699,0.95716435185185189,1,0.07937182345774163
86099,86099,0.99651620370370375,1,0.08249664561257708
89640,89640,1.0375000000000001,1,0.085739781251753966
93325,93325,1.080150462962963,1,0.089102631981484048
97163,97163,1.1245717592592592,1,0.092591957525763879
101158,101158,1.1708101851851851,1,0.096209822966498049
105317,105317,1.2189467592592593,1,0.099960882453286826
109648,109648,1.269074074074074,1,0.10385052471597711
114156,114156,1.32125,1,0.10788127642559553
118850,118850,1.3755787037037037,1,0.11205907084855959
123737,123737,1.4321412037037038,1,0.11638785433610854
128825,128825,1.4910300925925926,1,0.12087225718048433
134122,134122,1.552337962962963,1,0.12551668752325218
139637,139637,1.6161689814814815,1,0.13032619100043608
145378,145378,1.6826157407407407,1,0.13530468638241455
151356,151356,1.7518055555555556,1,0.14045841769332812
157580,157580,1.8238425925925925,1,0.1457915931099949
164059,164059,1.8988310185185184,1,0.15130812204370125
170805,170805,1.9769097222222223,1,0.15701413229365835
177828,177828,2.0581944444444447,1,0.16291368446665588
185140,185140,2.142824074074074,1,0.16901213953219696
192752,192752,2.2309259259259258,1,0.17531360845934307
200678,200678,2.3226620370370372,1,0.18182424033613032
208930,208930,2.4181712962962965,1,0.18854804947539294
217520,217520,2.5175925925925924,1,0.19548857297512423
226464,226464,2.6211111111111109,1,0.20265204396458203
235776,235776,2.7288888888888887,1,0.21004248851267382
245471,245471,2.8410995370370369,1,0.21766412481727082
255564,255564,2.9579166666666667,1,0.2255205306883169
266073,266073,3.079548611111111,1,0.23361692247602184
277013,277013,3.2061689814814813,1,0.24195546253411016
288403,288403,3.3379976851851851,1,0.2505406088862574
300262,300262,3.4752546296296298,1,0.25937595946506331
312608,312608,3.6181481481481481,1,0.26846349562339866
325462,325462,3.7669212962962964,1,0.27780649442773786
338844,338844,3.9218055555555558,1,0.28740651571486031
352777,352777,4.0830671296296295,1,0.29726623839948252
367282,367282,4.2509490740740743,1,0.30738582693037375
382384,382384,4.425740740740741,1,0.31776710502755845
398107,398107,4.6077199074074073,1,0.32840997002029471
414477,414477,4.7971874999999997,1,0.33931440792882483
431519,431519,4.9944328703703702,1,0.35047841864037899
449262,449262,5.199791666666667,1,0.36190124846454874
467735,467735,5.4135995370370367,1,0.37358064367507449
486968,486968,5.6362037037037034,1,0.38551345342206955
506991,506991,5.8679513888888888,1,0.39769496148512606
527837,527837,6.1092245370370373,1,0.41012065555360544
549541,549541,6.3604282407407409,1,0.42278546748184198
572137,572137,6.6219560185185182,1,0.43568196021332628
595662,595662,6.8942361111111108,1,0.44880261189119197
620155,620155,7.1777199074074076,1,0.46213910411971959
645654,645654,7.4728472222222226,1,0.47568064429143864
