Task,Model,ProgressPercent,CumulativeMAE_pct
SOC,Quantized,55,1.8570748207693268
SOC,Quantized,56,1.8504392715696643
SOC,Quantized,57,1.8417560873144343
SOC,Quantized,58,1.864211122753421
SOC,Quantized,59,1.8882107166489313
SOC,Quantized,60,1.9168086640150355
SOC,Quantized,61,1.9422677821628229
SOC,Quantized,62,1.9676564852743927
SOC,Quantized,63,1.9708383292194818
SOC,Quantized,64,1.9549992243326608
SOC,Quantized,65,1.9861506985512762
SOC,Quantized,66,2.0118097097689422
SOC,Quantized,67,2.0440926637838865
SOC,Quantized,68,2.0734884205289461
SOC,Quantized,69,2.1014216412227817
SOC,Quantized,70,2.1155654992568156
SOC,Quantized,71,2.1041778489277845
SOC,Quantized,72,2.1241465330013645
SOC,Quantized,73,2.1572247100151634
SOC,Quantized,74,2.1924348160907305
SOC,Quantized,75,2.2269280700570513
SOC,Quantized,76,2.2584932512307971
SOC,Quantized,77,2.2836667934844272
SOC,Quantized,78,2.2751661907204368
SOC,Quantized,79,2.2838548216315768
SOC,Quantized,80,2.3138789609822887
SOC,Quantized,81,2.3459214370341241
SOC,Quantized,82,2.380453277880715
SOC,Quantized,83,2.421870478737044
SOC,Quantized,84,2.4655207165223416
SOC,Quantized,85,2.4525186111708148
SOC,Quantized,86,2.4561205072746817
SOC,Quantized,87,2.487276838403139
SOC,Quantized,88,2.5184423798678539
SOC,Quantized,89,2.5525956752577605
SOC,Quantized,90,2.5901827344287813
SOC,Quantized,91,2.6252216449130237
SOC,Quantized,92,2.6211956671158463
SOC,Quantized,93,2.6173354611270838
SOC,Quantized,94,2.6511551365593298
SOC,Quantized,95,2.6894079222982241
SOC,Quantized,96,2.7232828858722025
SOC,Quantized,97,2.7574383025753875
SOC,Quantized,98,2.7936112303560945
SOC,Quantized,99,2.8013455404185645
SOC,Quantized,100,2.7911566357181061
