"Task","Variant","ValueName","BinCenter","Density"
"SOC","Pruned","Weight","-0.31672848899999995","0.22750976319472091"
"SOC","Pruned","Weight","-0.28656387100000003","0.30695761700875046"
"SOC","Pruned","Weight","-0.25639925299999988","0.49835471937891246"
"SOC","Pruned","Weight","-0.22623463499999996","0.74753207906836872"
"SOC","Pruned","Weight","-0.19607001700000004","0.9678193100981779"
"SOC","Pruned","Weight","-0.1659053989999999","1.3975599739104285"
"SOC","Pruned","Weight","-0.13574078099999998","1.5528444154560317"
"SOC","Pruned","Weight","-0.10557616300000006","2.0403653365875765"
"SOC","Pruned","Weight","-0.075411544999999913","2.4195482752454445"
"SOC","Pruned","Weight","-0.045246926999999992","2.6831706992647244"
"SOC","Pruned","Weight","-0.015082309000000071","2.6867819653471803"
"SOC","Pruned","Weight","0.015082309000000071","2.8023424799857688"
"SOC","Pruned","Weight","0.045246926999999992","2.5314975238015771"
"SOC","Pruned","Weight","0.075411545000000135","2.2281511728752825"
"SOC","Pruned","Weight","0.10557616300000006","2.1920385120507238"
"SOC","Pruned","Weight","0.13574078099999998","1.5997908745279581"
"SOC","Pruned","Weight","0.16590539900000012","1.3867261756630609"
"SOC","Pruned","Weight","0.19607001700000004","0.97143057618063378"
"SOC","Pruned","Weight","0.22623463499999996","0.78003347381047172"
"SOC","Pruned","Weight","0.2563992530000001","0.4911321872140007"
"SOC","Pruned","Weight","0.28656387100000003","0.38279420474032405"
"SOC","Pruned","Weight","0.31672848899999995","0.22028723102980913"
"SOC","Pruned","Weight","0.34689310700000009","0.19500836845261793"
"SOC","Pruned","Weight","0.37705772500000001","0.16250697371051495"
"SOC","Pruned","Weight","0.40722234300000015","0.057780257319294197"
"SOC","Pruned","Weight","0.43738696100000007","0.090281652061397183"
"SOC","Pruned","Weight","0.46755157899999999","0.032501394742102986"
"SOC","Pruned","Weight","0.49771619700000014","0.021667596494735326"
"SOC","Pruned","Weight","0.52788081500000006","0.010833798247367663"
"SOC","Pruned","Weight","0.55804543299999998","0.021667596494735326"
"SOC","Pruned","Weight","0.58821005100000012","0.036112660824558877"
"SOC","Pruned","Weight","0.61837466900000004","0.021667596494735326"
"SOC","Pruned","Weight","0.64853928699999996","0.014445064329823549"
"SOC","Pruned","Weight","0.67870390500000011","0.010833798247367663"
"SOC","Pruned","Weight","0.70886852300000025","0.018056330412279439"
"SOC","Pruned","Weight","0.73903314099999995","0.0072225321649117746"
"SOC","Pruned","Weight","0.76919775900000009","0.018056330412279439"
"SOC","Pruned","Weight","0.79936237700000023","0.021667596494735326"
"SOC","Pruned","Weight","0.82952699499999993","0.0072225321649117746"
"SOC","Pruned","Weight","0.85969161300000008","0.0072225321649117746"
"SOC","Pruned","Weight","0.88985623100000022","0.014445064329823549"
"SOC","Pruned","Weight","0.92002084899999992","0.0072225321649117746"
"SOC","Pruned","Weight","0.95018546700000006","0.014445064329823549"
"SOC","Pruned","Weight","0.9803500850000002","0.0036112660824558873"
"SOC","Pruned","Weight","1.0105147029999999","0.014445064329823549"
"SOC","Pruned","Weight","1.040679321","0.010833798247367663"
"SOC","Pruned","Weight","1.0708439390000002","0.010833798247367663"
"SOC","Pruned","Weight","1.1010085569999999","0.010833798247367663"
"SOC","Pruned","Weight","1.131173175","0.018056330412279439"
"SOC","Pruned","Weight","1.1613377930000002","0.0072225321649117746"
"SOC","Pruned","Weight","1.1915024109999999","0.010833798247367663"
"SOC","Pruned","Weight","1.221667029","0.0036112660824558873"
"SOC","Pruned","Weight","1.2518316470000002","0.0036112660824558873"
"SOC","Pruned","Weight","1.2819962649999999","0.0072225321649117746"
"SOC","Pruned","Weight","1.312160883","0.025278862577191214"
"SOC","Pruned","Weight","1.3423255010000001","0.19861963453507381"
"SOH","Base","Weight","-2.5682808418888889","0.084350800079929844"
"SOH","Base","Weight","-2.510566665666667","0.01237481797579809"
"SOH","Base","Weight","-2.4528524894444446","0.021466520978425257"
"SOH","Base","Weight","-2.3951383132222226","0.016920669477111676"
"SOH","Base","Weight","-2.3374241370000002","0.019193595227768465"
"SOH","Base","Weight","-2.2797099607777778","0.026264919785367376"
"SOH","Base","Weight","-2.2219957845555558","0.02778020361913857"
