"Task","WeightAccuracy","WeightFlash","WeightRAM","WeightEnergy","UBase","UPruned","UQuantized","Winner"
"SOC","0","0","1","0","1","0.81744421906693721","0.80324543610547672","Quantized"
"SOC","0","0.050000000000000003","0","0.94999999999999996","1","0.57229162158217706","4.7620505134980773","Pruned"
"SOC","0","0.050000000000000003","0.050000000000000003","0.90000000000000002","1","0.58459913068200731","4.5528898396531936","Pruned"
"SOC","0","0.050000000000000003","0.10000000000000001","0.84999999999999998","1","0.59690663978183767","4.3437291658083099","Pruned"
"SOC","0","0.050000000000000003","0.14999999999999999","0.80000000000000004","1","0.60921414888166803","4.1345684919634262","Pruned"
"SOC","0","0.050000000000000003","0.20000000000000001","0.75","1","0.62152165798149817","3.9254078181185417","Pruned"
"SOC","0","0.050000000000000003","0.25","0.69999999999999996","1","0.63382916708132853","3.7162471442736575","Pruned"
"SOC","0","0.050000000000000003","0.29999999999999999","0.65000000000000002","1","0.64613667618115889","3.5070864704287743","Pruned"
"SOC","0","0.050000000000000003","0.34999999999999998","0.59999999999999998","1","0.65844418528098925","3.2979257965838902","Pruned"
"SOC","0","0.050000000000000003","0.40000000000000002","0.55000000000000004","1","0.67075169438081961","3.0887651227390069","Pruned"
"SOC","0","0.050000000000000003","0.45000000000000001","0.5","1","0.68305920348064997","2.8796044488941228","Pruned"
"SOC","0","0.050000000000000003","0.5","0.45000000000000001","1","0.69536671258048022","2.6704437750492387","Pruned"
"SOC","0","0.050000000000000003","0.55000000000000004","0.40000000000000002","1","0.70767422168031069","2.461283101204355","Pruned"
"SOC","0","0.050000000000000003","0.59999999999999998","0.34999999999999998","1","0.71998173078014083","2.2521224273594709","Pruned"
"SOC","0","0.050000000000000003","0.65000000000000002","0.29999999999999999","1","0.73228923987997119","2.0429617535145872","Pruned"
"SOC","0","0.050000000000000003","0.69999999999999996","0.25","1","0.74459674897980144","1.8338010796697035","Pruned"
"SOC","0","0.050000000000000003","0.75","0.20000000000000001","1","0.75690425807963169","1.6246404058248198","Pruned"
"SOC","0","0.050000000000000003","0.80000000000000004","0.14999999999999999","1","0.76921176717946205","1.4154797319799362","Pruned"
"SOC","0","0.050000000000000003","0.84999999999999998","0.10000000000000001","1","0.78151927627929241","1.2063190581350522","Pruned"
"SOC","0","0.050000000000000003","0.90000000000000002","0.050000000000000003","1","0.79382678537912277","0.99715838429016845","Pruned"
"SOC","0","0.050000000000000003","0.94999999999999996","0","1","0.80613429447895302","0.78799771044528455","Quantized"
"SOC","0","0.10000000000000001","0","0.90000000000000002","1","0.57328920609402323","4.5376421139930008","Pruned"
"SOC","0","0.10000000000000001","0.050000000000000003","0.84999999999999998","1","0.58559671519385348","4.3284814401481171","Pruned"
"SOC","0","0.10000000000000001","0.10000000000000001","0.80000000000000004","1","0.59790422429368384","4.1193207663032334","Pruned"
"SOC","0","0.10000000000000001","0.14999999999999999","0.75","1","0.61021173339351409","3.9101600924583497","Pruned"
"SOC","0","0.10000000000000001","0.20000000000000001","0.69999999999999996","1","0.62251924249334445","3.7009994186134652","Pruned"
"SOC","0","0.10000000000000001","0.25","0.65000000000000002","1","0.63482675159317481","3.4918387447685819","Pruned"
"SOC","0","0.10000000000000001","0.29999999999999999","0.59999999999999998","1","0.64713426069300506","3.2826780709236978","Pruned"
"SOC","0","0.10000000000000001","0.34999999999999998","0.55000000000000004","1","0.65944176979283542","3.0735173970788146","Pruned"
"SOC","0","0.10000000000000001","0.40000000000000002","0.5","1","0.67174927889266578","2.8643567232339304","Pruned"
"SOC","0","0.10000000000000001","0.45000000000000001","0.45000000000000001","1","0.68405678799249603","2.6551960493890467","Pruned"
"SOC","0","0.10000000000000001","0.5","0.40000000000000002","1","0.69636429709232639","2.4460353755441631","Pruned"
"SOC","0","0.10000000000000001","0.55000000000000004","0.34999999999999998","1","0.70867180619215675","2.2368747016992789","Pruned"
"SOC","0","0.10000000000000001","0.59999999999999998","0.29999999999999999","1","0.720979315291987","2.0277140278543953","Pruned"
"SOC","0","0.10000000000000001","0.65000000000000002","0.25","1","0.73328682439181736","1.8185533540095113","Pruned"
"SOC","0","0.10000000000000001","0.69999999999999996","0.20000000000000001","1","0.74559433349164772","1.6093926801646277","Pruned"
"SOC","0","0.10000000000000001","0.75","0.14999999999999999","1","0.75790184259147786","1.4002320063197438","Pruned"
